command,mean,stddev,median,user,system,min,max,parameter_D,parameter_N,parameter_name
./run.sh 1brc_parallel_ptr2 24 16,5.558918822380001,0.170067271820256,5.58179728538,34.518147293333335,6.160217646666666,5.378570417380001,5.71638876438,16,24,parallel_ptr2
./run.sh 1brc_parallel_ptr2b 24 16,3.9470529990466665,0.5510786821823522,4.05430747838,24.549324959999996,6.606253979999999,3.35023143738,4.43662008138,16,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3 24 16,4.683466047713334,0.21193570410203796,4.7060396863800005,37.54115862666666,6.402606313333333,4.46114708438,4.88321137238,16,24,parallel_ptr3
./run.sh 1brc_parallel_ptr3b 24 16,3.393969176713334,0.14363023887130558,3.32175247438,26.519856626666666,6.237371979999999,3.3007786243800004,3.5593764313800005,16,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2 24 16,4.2296142580466665,0.08368848325957651,4.23342854938,38.816650626666664,2.3626279799999996,4.14408384638,4.31133037838,16,24,parallel_mmap2
./run.sh 1brc_parallel_mmap2b 24 16,3.0336407297133334,0.03818391214985246,3.0209152463800004,26.404711626666668,2.37345098,3.0034445093800004,3.0765624333800003,16,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2 32 24,4.4981794123266665,0.0858118631465522,4.52039953566,35.664533479999996,7.138100893333333,4.40344294666,4.57069575466,24,32,parallel_ptr2
./run.sh 1brc_parallel_ptr2b 32 24,3.3329625026600005,0.10266644355281297,3.32801624666,25.574948813333332,6.570759893333334,3.23285858866,3.43801267266,24,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3 32 24,4.0748595059933335,0.0665015884770029,4.10395329066,38.07281648,6.145262893333334,3.9987689296599997,4.12185629766,24,32,parallel_ptr3
./run.sh 1brc_parallel_ptr3b 32 24,3.1637588746599996,0.1182784395928098,3.14972676366,26.304369813333334,5.9657475600000005,3.05312241566,3.28842744466,24,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2 32 24,3.8826917923266664,0.022379442294207894,3.87689737166,39.968063480000005,2.29928556,3.86377941866,3.9073985866600003,24,32,parallel_mmap2
./run.sh 1brc_parallel_mmap2b 32 24,2.84953530266,0.060889703801659714,2.84308411066,26.983295146666666,2.4068902266666665,2.79212804766,2.91339374966,24,32,parallel_mmap2b
