command,mean,stddev,median,user,system,min,max,parameter_D,parameter_N,parameter_name
./run.sh 1brc_parallel_ptr 16 12,18.052771878393333,0.4293989403297912,18.05219529706,89.38425982000001,12.967605933333331,17.62366151906,18.48245881906,12,16,parallel_ptr
./run.sh 1brc_parallel_ptr2 16 12,17.046819743726665,0.24833577293146142,16.99957978206,85.90079881999999,12.358081933333333,16.82549698506,17.31538246406,12,16,parallel_ptr2
./run.sh 1brc_parallel_ptr 24 12,20.367795565726666,6.575299649740978,18.435521919059997,118.97785182,26.608726266666668,14.975134987059999,27.69272979106,12,24,parallel_ptr
./run.sh 1brc_parallel_ptr2 24 12,15.486395384393333,1.2386445810659916,14.888766907059999,104.80976482,17.5745386,14.659878316059999,16.910540930059998,12,24,parallel_ptr2
./run.sh 1brc_parallel_ptr 16 16,20.168468734726666,0.1206293720397005,20.18427801406,84.15626782,11.0783226,20.04071420806,20.28041398206,16,16,parallel_ptr
./run.sh 1brc_parallel_ptr2 16 16,19.057186606726663,0.602927778125719,18.752833738059998,78.61610148666666,10.534216599999999,18.667100278059998,19.751625804059998,16,16,parallel_ptr2
./run.sh 1brc_parallel_ptr 24 16,15.274250621726665,0.4572779494965645,15.526476215059999,104.51550582,14.7669026,14.74640431806,15.549871332059999,16,24,parallel_ptr
./run.sh 1brc_parallel_ptr2 24 16,14.769837513726666,0.0899938822365602,14.78098060406,97.15380648666667,13.983892266666665,14.67479098606,14.853740951059999,16,24,parallel_ptr2
./run.sh 1brc_parallel_ptr 16 24,23.883178967726668,0.10167723575302087,23.84541563506,79.79074415333334,8.5767266,23.80578650306,23.99833476506,24,16,parallel_ptr
./run.sh 1brc_parallel_ptr2 16 24,22.73007492972667,0.27975296177454156,22.76393077806,74.77333415333332,8.1014166,22.43493475606,22.99135925506,24,16,parallel_ptr2
./run.sh 1brc_parallel_ptr 24 24,17.394073263059997,1.5259672115403957,16.99736957506,91.77564715333334,12.063129600000002,16.10563474906,19.07921546506,24,24,parallel_ptr
./run.sh 1brc_parallel_ptr2 24 24,16.15429807106,0.6880630665488824,16.08336918306,88.78328515333334,11.662509933333332,15.50444681906,16.87507821106,24,24,parallel_ptr2
./run.sh 1brc_parallel_ptr 16 32,28.600598555393333,1.353348805487638,28.01556327006,78.12355648666666,7.2560655999999994,27.63818461606,30.14804778006,32,16,parallel_ptr
./run.sh 1brc_parallel_ptr2 16 32,26.642178355726667,0.12026221085927419,26.636327922059998,73.88301982,7.019658933333332,26.52494813706,26.76525900806,32,16,parallel_ptr2
./run.sh 1brc_parallel_ptr 24 32,17.971927159726665,0.3071946365307278,17.99399129706,85.34309715333332,10.2285136,17.65429531106,18.26749487106,32,24,parallel_ptr
./run.sh 1brc_parallel_ptr2 24 32,16.76731180339333,0.47690524488759833,16.706157024059998,79.65576815333334,9.6860006,16.32393383406,17.27184455206,32,24,parallel_ptr2
