command,mean,stddev,median,user,system,min,max,parameter_D,parameter_N,parameter_name
./run.sh 1brc_parallel_mmap2b 16 4,2.4533121147,0.013370695415367494,2.4467697897000003,28.358232619999995,0.4818252599999999,2.4444723737,2.4686941807,4,16,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 16 4,3.6880758820333335,0.04214940028262434,3.7001369487,30.548021953333336,13.253344259999999,3.6412106827,3.7228800147000003,4,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 4,3.5259662407000003,0.08813537283479754,3.4797523657,31.74049362,12.468247926666665,3.4705489636999998,3.6275973927000003,4,16,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 24 4,2.8045509296999995,0.17117675564688012,2.8970919747,30.620162620000002,0.5287379266666666,2.6070236787,2.9095371357,4,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 24 4,3.9644850883666662,0.06253534815109144,3.9471218987,32.47991062,11.411694926666664,3.9124661107,4.0338672557,4,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 4,3.878614454366667,0.18357408059342967,3.9332016227,34.49436628666667,13.071504259999998,3.6739381657,4.0287035747,4,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 32 4,2.3399690937,0.001199671859870036,2.3405265817,31.377575286666666,0.5300099266666667,2.3385921157,2.3407885837,4,32,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 32 4,3.695956302366667,0.021335381844864162,3.6898714957000003,32.93837528666667,11.067891593333334,3.6783243287,3.7196730827,4,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 4,4.517938166033333,0.17244005454867906,4.4796866977,33.12717661999999,13.046615926666666,4.3678356777000005,4.7062921227,4,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 48 4,2.4024375967,0.04920203316971465,2.3807223347,31.500919953333334,0.6586409266666666,2.3678290247,2.4587614307,4,48,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 48 4,3.7105633047000004,0.06614753419347663,3.7295803157,32.78191062,11.355028926666664,3.6369902907,3.7651193077,4,48,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 48 4,5.951054865033334,0.05496236200119571,5.9459423877,33.97677428666667,15.380057593333333,5.8988273637,6.0083948437,4,48,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 64 4,2.4381864093666663,0.014755196453264806,2.4415316607,31.528549620000003,0.67615426,2.4220457917,2.4509817757,4,64,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 64 4,3.8158047783666666,0.07329103461009225,3.8424943087,33.762731620000004,12.272908593333332,3.7329091147,3.8720109117,4,64,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 64 4,8.885872136700002,0.38382989175880555,8.7232214407,34.64874395333333,22.73822626,8.6101485397,9.3242464297,4,64,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 16 8,2.415955354033333,0.11662890575813127,2.3647101377,29.463749953333334,0.5901225933333333,2.3337227467,2.5494331777,8,16,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 16 8,3.7710900743666667,0.11787762588418746,3.7216700857,26.013367953333333,6.65938026,3.6859666347,3.9056335027,8,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 8,2.966314369033333,0.08950249876399227,3.0152558697,31.646378286666664,7.738705926666666,2.8630131397,3.0206740977,8,16,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 24 8,2.5197183463666666,0.0492684951034668,2.5090679877,29.70032928666667,0.5219952599999998,2.4766460877,2.5734409637,8,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 24 8,3.383816133033333,0.07649390250741206,3.4037517417,30.88428495333333,9.475233259999998,3.2993282257,3.4483684317,8,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 8,3.0268792930333337,0.10700795521503875,3.0403901577,31.615216619999998,6.836280926666666,2.9137575367,3.1264901847,8,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 32 8,2.2770816483666665,0.04030715796169295,2.2621018637,30.47663562,0.57243126,2.2464091047,2.3227339767,8,32,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 32 8,3.2467669913666666,0.04517887722186711,3.2461471897,32.365338619999996,8.830861593333333,3.2019012037,3.2922525807,8,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 8,3.0743117223666663,0.06097883010458553,3.0480128687,31.606173619999996,6.4181895933333335,3.0308952987,3.1440269997,8,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 48 8,2.5104905507,0.01792902241654706,2.5177055697,31.156625286666667,0.6266142599999999,2.4900780577,2.5236880247,8,48,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 48 8,3.2429366203666667,0.05413427922412048,3.2477884857,32.500816953333334,7.12629326,3.1865397257,3.2944816497,8,48,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 48 8,3.2849442937,0.03135633652563725,3.2970635697,32.695515953333334,7.743674593333334,3.2493370297,3.3084322817,8,48,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 64 8,2.3158867347,0.02745343765698347,2.3298298897,31.869832286666668,0.6028899266666666,2.2842598827,2.3335704317,8,64,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 64 8,3.2503444043666665,0.058651402326449525,3.2841762707,32.648844620000006,7.077570260000001,3.1826196077,3.2842373347000002,8,64,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 64 8,3.7524290817000003,0.07749774826169598,3.7719571367,33.094749619999995,8.656088593333331,3.6670350847,3.8182950237,8,64,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 16 12,2.1443915720333333,0.0021190959727872354,2.1450688987,29.348298286666665,0.5193905933333333,2.1420166157,2.1460892017,12,16,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 16 12,4.3663326496999995,0.1257019653552981,4.3133839097,23.12891328666667,5.181251593333333,4.2757672517,4.5098467877,12,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 12,2.6174951093666667,0.0551204810586735,2.6470924337,31.017638953333332,6.000910593333334,2.5538982277,2.6514946667,12,16,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 24 12,2.3456377137,0.09814278451550089,2.3733552437,29.428955286666667,0.5382822599999999,2.2366169287,2.4269409687,12,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 24 12,3.2075667947,0.07347419121383268,3.2028288027,29.34524562,5.617338593333334,3.1365762627,3.2832953187,12,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 12,2.7673890447,0.08283423044434227,2.7689682887,30.65166428666667,4.6280885933333336,2.6837764837,2.8494223617000003,12,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 32 12,2.3519005773666666,0.011909560760587856,2.3544219607,29.541377286666663,0.5203715933333334,2.3389322127,2.3623475587,12,32,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 32 12,2.9795237550333336,0.06134055953559353,2.9874627076999998,31.77157395333333,6.740020593333334,2.9146002467,3.0365083107,12,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 12,2.8258899857,0.03025375455558595,2.8364565247,31.107591619999997,4.929481926666667,2.7917700927,2.8494433397,12,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 48 12,2.281697278033333,0.007900773270049177,2.2782586417,30.675520286666668,0.5328175933333333,2.2760985327,2.2907346597,12,48,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 48 12,3.048879953033333,0.04880978707877652,3.0234238917,32.58625462,7.036432593333333,3.0180604577,3.1051555097,12,48,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 48 12,3.0235682663666665,0.09066955291730583,3.0093449887,31.999698953333333,5.786197593333334,2.9408509477,3.1205088627,12,48,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 64 12,2.3385351657,0.028581912430158167,2.3370018137,30.79812162,0.6149862599999999,2.3107507937,2.3678528897,12,64,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 64 12,3.0682477180333336,0.038274079784770355,3.0748573417,32.23798862,6.9016279266666665,3.0270992827,3.1027865297,12,64,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 64 12,3.1380142587,0.03781811995182,3.1369712137,32.59582762,6.070796926666667,3.1007284507,3.1763431117,12,64,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 16 16,2.1672789507,0.008233929723451125,2.1692108857,29.222786286666665,0.54222526,2.1582508297,2.1743751367,16,16,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 16 16,5.122249262033333,0.21712364252657929,5.0813055307,22.25985728666667,3.838988926666667,4.9285123877,5.3569298677,16,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 16,2.4766630927000004,0.008162387485249249,2.4773854937,30.572050286666666,4.38189026,2.4681635157,2.4844402687000002,16,16,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 24 16,2.283594020366667,0.08111855599733676,2.3078430617,29.14889362,0.52771326,2.1931164007,2.3498225987,16,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 24 16,3.3975063040333335,0.10955474148515518,3.3866188737,26.564172286666665,4.43672626,3.2938017747,3.5120982637,16,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 16,2.5627304790333336,0.010841517883368137,2.5623661427,30.413216953333333,3.5921609266666668,2.5520757217,2.5737495727,16,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 32 16,2.3052812730333336,0.04239494624460721,2.3259713667,29.603440286666665,0.5226659266666666,2.2565139477000002,2.3333585047,16,32,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 32 16,2.9286909113666666,0.05791331129424712,2.9228532077000002,31.643940286666663,4.916955926666667,2.8739175407,2.9893019857,16,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 16,2.6646321887,0.03894083232905734,2.6812153427,30.920314286666667,3.9360769266666664,2.6201447877,2.6925364357,16,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 48 16,2.2767192857,0.05561236431917618,2.2832223167,29.848548286666666,0.6253735933333333,2.2181413027,2.3287942377,16,48,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 48 16,2.989728562033333,0.06877480394722547,3.0145972047,33.03019228666667,6.27432426,2.9119785717,3.0426099097,16,48,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 48 16,2.7986692137,0.040088873582352295,2.7830109727,31.37481762,4.475785926666666,2.7687725817,2.8442240867,16,48,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 64 16,2.2457973347,0.02753946374524334,2.2383321737,30.581586953333332,0.6100495933333332,2.2227600517,2.2762997787,16,64,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 64 16,3.0221141267,0.01573887517288193,3.0145570207,32.23731028666666,7.084762593333333,3.0115790567,3.0402063027,16,64,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 64 16,2.9541326626999997,0.03767728708632973,2.9348215147000003,32.126026286666665,5.577923926666666,2.9300260147,2.9975504587,16,64,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 16 24,2.1318836667,0.009627577122021024,2.1363837857,28.99993062,0.5591759266666666,2.1208300887,2.1384371257,24,16,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 16 24,6.258441542700001,0.0978021492524449,6.2668284557,21.547845953333333,2.7364809266666668,6.1567160137,6.3517801587000005,24,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 24,2.3926116460333335,0.04451353109858726,2.3752359997,30.51705662,3.8255639266666663,2.3594065147,2.4431924237000002,24,16,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 24 24,2.2478310743666667,0.013050503755196041,2.2409578457,29.09553862,0.52627426,2.2396537017,2.2628816757,24,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 24 24,3.8067059713666667,0.09983960766418248,3.8539004307,23.565510286666665,3.376918593333333,3.6920183497,3.8741991337,24,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 24,2.5169721280333337,0.0748920802965957,2.5158274387,30.213698953333335,3.2021382600000003,2.4426589537,2.5924299917,24,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 32 24,2.1656528857,0.05240690241251622,2.1851779177,29.363787286666664,0.5296225933333333,2.1062863047,2.2054944347,24,32,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 32 24,2.9759355217000003,0.14668219679736835,2.9158655087,28.588543953333332,3.592582593333333,2.8688233007,3.1431177557,24,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 24,2.4576454417,0.023856875741617295,2.4585475997,30.731106620000002,3.2128269266666667,2.4333502837,2.4810384417,24,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 48 24,2.1966047597,0.03404385706830423,2.1907731677,29.575258286666667,0.5389895933333334,2.1658533817,2.2331877297,24,48,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 48 24,2.7377746283666666,0.025076137180417835,2.7500355567,32.43667928666667,4.4480165933333335,2.7089271027,2.7543612257000003,24,48,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 48 24,2.6078715520333335,0.023353906647975087,2.6208891917,31.106616286666664,3.949408593333333,2.5809100857000002,2.6218153787,24,48,parallel_ptr3b
